mktID,weekdayThisAreaIsActive,date,mktDay,year,month,weekday,mkt_lat,mkt_lon,sumsum_maxpMax_27_100,sumsum_maxpMax_27_24,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,heavy_haze_percent,instrument,light_haze_percent,satellite_azimuth,satellite_id,shadow_percent,sun_azimuth,sun_elevation,view_angle,visible_confidence_percent,visible_percent,time_decimal,diff_to_median_time,exclDates,maxVar_s_6_maxpMax_1
lon9_9576lat36_8643,5,2017-06-13,0,2017,6,2,9.9576,36.8643,0.2402442106310673,,2017-06-13T07:13:03.937546Z,0.02,59.0,100.0,0.0,0.0,0.0,PS2,0.0,180.3,1017,0.0,63.9,54.3,0.9,60.0,100.0,7.2175,0.3088888888888883,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-06-13,0,2017,6,2,9.9576,36.8643,0.3633503590137783,,2017-06-13T07:13:04.993309Z,0.02,68.0,99.0,0.0,0.0,0.0,PS2,1.0,182.6,1017,0.0,63.8,54.2,0.9,59.0,100.0,7.217777777777778,0.3086111111111105,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-07-12,0,2017,7,3,9.9576,36.8643,0.7958641105090668,,,,,,,,,PS2,,,,,,,,,,7.260277777777778,0.2661111111111109,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-09-25,0,2017,9,1,9.9576,36.8643,0.6393216000852495,,2017-09-25T07:15:55.893863Z,0.02,52.0,59.0,0.0,0.0,0.0,PS2,41.0,98.3,1024,0.0,107.3,56.7,5.1,48.0,100.0,7.2652777777777775,0.261111111111111,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-09-25,0,2017,9,1,9.9576,36.8643,,,2017-09-25T07:19:06.308538Z,0.01,45.0,29.0,0.12,12.0,0.0,PS2,60.0,275.8,103e,0.0,107.6,56.8,2.4,45.0,88.0,7.318333333333333,0.2080555555555552,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-09-25,0,2017,9,1,9.9576,36.8643,0.4261516039485263,,2017-09-25T07:19:07.367835Z,0.0,53.0,64.0,0.0,0.0,0.0,PS2,36.0,276.1,103e,0.0,107.5,56.8,2.4,44.0,100.0,7.318611111111111,0.2077777777777774,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-09-27,0,2017,9,3,9.9576,36.8643,0.3461143730798964,,,,,,,,,PS2,,,,,,,,,,7.319999999999999,0.2063888888888891,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-09-27,0,2017,9,3,9.9576,36.8643,1.0637874846132274,,2017-09-27T07:22:58.136794Z,0.02,53.0,60.0,0.08,8.0,0.0,PS2,31.0,276.6,0e2f,0.0,109.6,57.7,3.3,46.0,92.0,7.382777777777777,0.1436111111111113,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-10-02,0,2017,10,1,9.9576,36.8643,0.9719694590642328,,2017-10-02T08:43:37.952219Z,0.02,69.0,100.0,0.0,0.0,0.0,PS2,0.0,262.0,1051,0.0,144.2,73.3,3.5,70.0,100.0,8.726944444444445,1.2005555555555567,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-10-03,0,2017,10,2,9.9576,36.8643,0.14259263939468,,2017-10-03T07:18:52.501017Z,0.01,64.0,91.0,0.08,8.0,0.0,PS2,1.0,275.9,101f,0.0,113.2,56.2,2.5,52.0,92.0,7.314444444444444,0.2119444444444447,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-10-04,0,2017,10,3,9.9576,36.8643,0.1000616525203654,,2017-10-04T07:16:13.419694Z,0.01,64.0,94.0,0.06,6.0,0.0,PS2,0.0,98.2,1024,0.0,113.6,56.1,5.1,62.0,94.0,7.270277777777777,0.2561111111111112,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-10-04,0,2017,10,3,9.9576,36.8643,0.1000266215853841,,2017-10-04T07:19:08.506788Z,0.0,67.0,97.0,0.03,3.0,0.0,PS2,0.0,276.4,103e,0.0,114.0,56.2,1.8,55.0,97.0,7.318888888888889,0.2074999999999995,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-10-04,0,2017,10,3,9.9576,36.8643,0.2069207177908368,,2017-10-04T08:44:21.428707Z,0.0,60.0,98.0,0.0,0.0,0.0,PS2,2.0,262.2,0f47,0.0,146.0,72.7,4.0,51.0,100.0,8.739166666666666,1.2127777777777773,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-13,0,2017,11,1,9.9576,36.8643,0.3056924655431977,,2017-11-13T07:22:15.224284Z,0.0,60.0,98.0,0.0,0.0,0.0,PS2,2.0,276.9,103e,0.0,134.2,49.9,5.0,50.0,100.0,7.370833333333333,0.1555555555555559,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-15,0,2017,11,3,9.9576,36.8643,0.1340290741433211,,2017-11-15T07:21:00.52277Z,0.0,54.0,96.0,0.0,0.0,0.0,PS2,4.0,186.9,0f43,0.0,134.7,49.5,0.9,47.0,100.0,7.35,0.1763888888888889,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-16,0,2017,11,4,9.9576,36.8643,0.1530455026302034,,,,,,,,,PS2,,,,,,,,,,7.332222222222222,0.1941666666666668,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-20,0,2017,11,1,9.9576,36.8643,0.29500234506751,,,,,,,,,PS2,,,,,,,,,,7.359166666666666,0.1672222222222226,1,sumsum_maxpMax_27_24
lon9_9576lat36_8643,5,2017-11-21,0,2017,11,2,9.9576,36.8643,0.1342547456842235,,2017-11-21T07:20:25.646093Z,0.0,67.0,100.0,0.0,0.0,0.0,PS2,0.0,108.2,0f35,0.0,135.9,48.3,1.0,68.0,100.0,7.340277777777778,0.1861111111111109,1,sumsum_maxpMax_27_24
